tool,kd,sv,gsv,tp,gtp,processed_in,operation,status,engine_group,
heic to jpg,28,"226,000",1070000,380000,964000,not_in_browser,convert,,libheif + canvas,
webp to png,9,"193,000",1140000,86000,566000,,convert,,canvas/wasm (image convert),
mp4 to mp3,53,"156,000",934000,250000,1320000,,convert,,ffmpeg (video/audio),
webp to jpg,34,"121,000",1340000,122000,396000,,convert,,canvas/wasm (image convert),
mp4 to gif,47,"102,000",383000,246000,600000,,convert,,ffmpeg (video/audio),
png to pdf,16,"102,000",924000,128000,452000,,convert,,pdfjs/pdf-lib (pdf <-> images),
pdf to png,7,"84,000",686000,125000,699000,,convert,,pdfjs/pdf-lib (pdf <-> images),
video to gif,37,"75,000",259000,246000,600000,not_in_browser,convert,,ffmpeg (video/audio),
epub to pdf,31,"66,000",412000,48000,238000,,convert,,libreoffice (office/pdf),
png to jpg,50,"63,000",711000,92000,825000,,convert,,canvas/wasm (image convert),
m4a to mp3,28,"62,000",258000,41000,152000,,convert,,ffmpeg (video/audio),
mov to mp4,12,"52,000",292000,75000,264000,,convert,,ffmpeg (video/audio),
wav to mp3,16,"48,000",189000,27000,101000,,convert,,ffmpeg (video/audio),
heic to png,7,"42,000",163000,15000,75000,not_in_browser,convert,,libheif + canvas,
mp3 to wav,12,"41,000",156000,65000,178000,,convert,,ffmpeg (video/audio),
docx to pdf,42,"40,000",335000,300000,6630000,,convert,,libreoffice (office/pdf),
jpeg to pdf,73,"39,000",723000,275000,11080000,,convert,,pdfjs/pdf-lib (pdf <-> images),
jpg to png,39,"39,000",478000,31000,418000,,convert,,canvas/wasm (image convert),
png to svg,60,"39,000",226000,64000,182000,,convert,,canvas/wasm (image convert),
mkv to mp4,6,"38,000",192000,27000,117000,,convert,,ffmpeg (video/audio),
svg to png,23,"36,000",275000,27000,255000,,convert,,canvas/wasm (image convert),
doc to pdf,64,"35,000",464000,300000,6630000,,convert,,libreoffice (office/pdf),
pdf to jpeg,68,"35,000",531000,297000,6240000,,convert,,pdfjs/pdf-lib (pdf <-> images),
webm to mp4,17,"35,000",173000,19000,107000,,convert,,ffmpeg (video/audio),
avif to jpg,9,"34,000",480000,18000,205000,,convert,,canvas/wasm (image convert),
