tool,operation,pattern,status,file formats,website_url,github_repo,notes,vendor_group,vendor_libs
3g2 to mp4,convert,"x to y, convert x to y",onsite-unverified,".3g2,.mp4",,,,,
3gp to aac,convert,"x to y, convert x to y",onsite-verified,".3gp,.aac",,,Engine: ffmpeg.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
3gp to aiff,convert,"x to y, convert x to y",onsite-verified,".3gp,.aiff",,,Engine: ffmpeg.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
3gp to alac,convert,"x to y, convert x to y",onsite-verified,".3gp,.alac",,,Engine: ffmpeg.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
3gp to amr,convert,"x to y, convert x to y",onsite-verified,".3gp,.amr",,,Engine: ffmpeg.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
3gp to asf,convert,"x to y, convert x to y",onsite-unverified,".3gp,.asf",,,,,
3gp to au,convert,"x to y, convert x to y",onsite-verified,".3gp,.au",,,Engine: ffmpeg.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
3gp to av1,convert,"x to y, convert x to y",onsite-unverified,".3gp,.av1",,,,,
3gp to avchd,convert,"x to y, convert x to y",onsite-unverified,".3gp,.avchd",,,,,
3gp to avi,convert,"x to y, convert x to y",onsite-unverified,".3gp,.avi",,,,,
3gp to caf,convert,"x to y, convert x to y",onsite-verified,".3gp,.caf",,,Engine: ffmpeg.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
3gp to cdda,convert,"x to y, convert x to y",onsite-verified,".3gp,.cdda",,,Engine: ffmpeg.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
3gp to divx,convert,"x to y, convert x to y",onsite-unverified,".3gp,.divx",,,,,
3gp to f4v,convert,"x to y, convert x to y",onsite-unverified,".3gp,.f4v",,,,,
3gp to flac,convert,"x to y, convert x to y",onsite-verified,".3gp,.flac",,,Engine: ffmpeg.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
3gp to flv,convert,"x to y, convert x to y",onsite-unverified,".3gp,.flv",,,,,
3gp to gif,convert,"x to y, convert x to y",onsite-unverified,".3gp,.gif",,,,,
3gp to hevc,convert,"x to y, convert x to y",onsite-unverified,".3gp,.hevc",,,,,
3gp to m2ts,convert,"x to y, convert x to y",onsite-unverified,".3gp,.m2ts",,,,,
3gp to m4a,convert,"x to y, convert x to y",onsite-verified,".3gp,.m4a",,,Engine: ffmpeg.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
3gp to m4r,convert,"x to y, convert x to y",onsite-verified,".3gp,.m4r",,,Engine: ffmpeg.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
3gp to m4v,convert,"x to y, convert x to y",onsite-unverified,".3gp,.m4v",,,,,
3gp to mjpeg,convert,"x to y, convert x to y",onsite-unverified,".3gp,.mjpeg",,,,,
3gp to mkv,convert,"x to y, convert x to y",onsite-unverified,".3gp,.mkv",,,,,
3gp to mov,convert,"x to y, convert x to y",onsite-unverified,".3gp,.mov",,,,,
3gp to mp2,convert,"x to y, convert x to y",onsite-verified,".3gp,.mp2",,,Engine: ffmpeg.,ffmpeg-convert,ffmpeg.wasm + ffmpeg-static
3gp to mp3,convert,"x to y, convert x to y",onsite-unverified,".3gp,.mp3",,,,,
3gp to mp4,convert,"x to y, convert x to y",onsite-unverified,".3gp,.mp4",,,,,
3gp to mpeg,convert,"x to y, convert x to y",onsite-unverified,".3gp,.mpeg",,,,,
3gp to mpeg2,convert,"x to y, convert x to y",onsite-unverified,".3gp,.mpeg2",,,,,
3gp to mpg,convert,"x to y, convert x to y",onsite-unverified,".3gp,.mpg",,,,,
3gp to mts,convert,"x to y, convert x to y",onsite-unverified,".3gp,.mts",,,,,
3gp to mxf,convert,"x to y, convert x to y",onsite-unverified,".3gp,.mxf",,,,,
