"URL","Filetype","Title","Top keyword","Traffic","Traffic value","Keywords","Top keyword: Volume"
"https://fileinfo.com/extension/eml","eml","EML File - What is an .eml file and how do I open it?",".eml file","9261","1695.86","317","2800"
"https://fileinfo.com/extension/apk","apk","APK File - What is an .apk file and how do I open it?","how to open apk file","8628","433.13","1115","15000"
"https://fileinfo.com/extension/json","json","JSON File - What is a .json file and how do I open it?","json file","8400","923.28","767","11000"
"https://fileinfo.com/extension/ics","ics","ICS File - What is an .ics file and how do I open it?",".ics file","7250","1075.14","459","2500"
"https://fileinfo.com/extension/gz","gz","GZ File - What is a .gz file and how do I open it?",".gz file","6192","873.11","646","4300"
"https://fileinfo.com/extension/vtt","vtt","VTT File - What is a .vtt file and how do I open it?","vtt file","5601","7539.3","244","2900"
"https://fileinfo.com/extension/bin","bin","BIN File - What is a .bin file and how do I open it?",".bin file","5293","432.7","560","4700"
"https://fileinfo.com/extension/tmp","tmp","TMP File - What is a .tmp file and how do I open it?","tmp file","4334","522.72","245","4000"
"https://fileinfo.com/extension/heic","heic","HEIC File Extension","heic format","4279","343.7","615","3100"
"https://fileinfo.com/extension/jfif","jfif","JFIF File - What is a .jfif file and how do I open it?","jfif file","4141","20.19","127","2500"
"https://fileinfo.com/extension/exe","exe","EXE File - What is an .exe file and how do I open it?","exe file opener","3988","458.71","626","700"
"https://fileinfo.com/extension/docx","docx","What is a .docx file and how do I open it?","how to open docx file?","3741","751.39","533","2800"
"https://fileinfo.com/extension/lnk","lnk","LNK File Extension - Windows Shortcut - FileInfo.com","lnk","3692","157.34","145","2200"
"https://fileinfo.com/extension/xlsx","xlsx","XLSX File Extension - FileInfo.com","how to open xlsx file","3473","736.07","330","900"
"https://fileinfo.com/extension/rar","rar","RAR File - What is a .rar file and how do I open it?","what is a .rar file","3456","898.96","590","2900"
"https://fileinfo.com/extension/jpg","jpg","JPG File - What is a .jpg file and how do I open it?","jpg","3366","812.14","654","25000"
"https://fileinfo.com/extension/doc","doc","DOC File - What is a .doc file and how do I open it?","doc file","3327","684.65","343","900"
"https://fileinfo.com/extension/mov","mov","MOV File Extension","mov","3315","1147.82","608","13000"
"https://fileinfo.com/extension/tar","tar","TAR File - What is a .tar file and how do I open it?",".tar file","2997","926.7","340","2900"
"https://fileinfo.com/extension/msg","msg","MSG File - What is an .msg file and how do I open it?","msg file","2941","232.86","323","400"
"https://fileinfo.com/extension/vcf","vcf","VCF File - What is a .vcf file and how do I open it?","vcf file","2852","1101.92","311","2700"
"https://fileinfo.com/extension/ts","ts","TS File - What is a .ts file and how do I open it?",".ts","2844","248.08","288","1600"
"https://fileinfo.com/extension/stp","stp","STP File - What is an .stp file and how do I open it? - FileInfo.com","stp file","2803","1810.44","294","300"
"https://fileinfo.com/extension/xlsm","xlsm","XLSM File - Microsoft Excel Macro-Enabled Spreadsheet",". xlsm","2722","89.06","143","1400"
"https://fileinfo.com/extension/md","md","MD File - What is an .md file and how do I open it?",".md file","2716","23.04","289","4200"
"https://fileinfo.com/extension/mpp","mpp","MPP File - What is an .mpp file and how do I open it?","mpp file","2711","4372.05","329","2200"
"https://fileinfo.com/extension/db","db","DB File - What is a .db file and how do I open it?","db file","2695","1618.74","224","700"
"https://fileinfo.com/extension/kmz","kmz","KMZ File - What is a .kmz file and how do I open it?","kmz file","2679","73.65","171","2600"
"https://fileinfo.com/extension/ica","ica","ICA File - What is an .ica file and how do I open it?","ica file","2677","388.95","191","1100"
"https://fileinfo.com/extension/ods","ods","ODS File - What is an .ods file and how do I open it?","ods file","2650","381.02","242","1100"
"https://fileinfo.com/extension/txt","txt","TXT File - What is a .txt file and how do I open it?","txt files","2640","583.74","364","1300"
"https://fileinfo.com/extension/dmg","dmg","DMG File - What is a .dmg file and how do I open it?",".dmg","2573","1090.42","295","5700"
"https://fileinfo.com/extension/mp3","mp3","MP3 File - What is an .mp3 file and how do I open it?","mp3 file","2567","265.11","333","2400"
"https://fileinfo.com/extension/eps","eps","EPS File Extension","eps file","2556","1489.55","517","12000"
"https://fileinfo.com/extension/ogg","ogg","OGG File - What is an .ogg file and how do I open it?",".ogg","2444","577.31","206","6700"
"https://fileinfo.com/extension/sesx","sesx","SESX File Extension - FileInfo.com","sesx","2392","22","14","4700"
"https://fileinfo.com/extension/xps","xps","XPS File - What is an .xps file and how do I open it?","xps file","2358","447.19","282","1700"
"https://fileinfo.com/extension/obb","obb","OBB File - What is an .obb file and how do I open it?","obb file","2266","56.73","75","4400"
"https://fileinfo.com/extension/crypt14","crypt14","CRYPT14 File Extension","how to open crypt14 file","2232","366.63","183","450"
"https://fileinfo.com/extension/3gp","3gp","3GP File - What is a .3gp file and how do I open it?","3gp","2157","174.67","180","11000"
"https://fileinfo.com/extension/cs","cs","CS File - What is a .cs file and how do I open it?",". cs file","2120","12.78","151","500"
"https://fileinfo.com/extension/opus","opus","What is an .opus file and how do I open it? - FileInfo.com","how to open opus file?","2081","71.24","96","500"
"https://fileinfo.com/extension/pak","pak","PAK File Extension","pak file","2079","120.23","126","600"
"https://fileinfo.com/extension/dat","dat","DAT File - What is a .dat file and how do I open it? - FileInfo.com",".dat file","1982","372.99","436","3700"
"https://fileinfo.com/extension/aspx","aspx","ASPX File - What is an .aspx file and how do I open it?","aspx","1980","231.15","139","7900"
"https://fileinfo.com/extension/tif","tif","TIF File Extension","tif file","1947","548.24","255","4200"
"https://fileinfo.com/extension/pptx","pptx","What is a .pptx file and how do I open it? - FileInfo.com","pptx","1943","245.92","176","3300"
"https://fileinfo.com/extension/dcm","dcm","DCM File - What is a .dcm file and how do I open it?","dcm file","1919","698.23","126","800"
"https://fileinfo.com/extension/torrent","torrent","TORRENT File - What is a .torrent file and how do I open it?","torrent file","1912","92.42","1076","2300"
"https://fileinfo.com/extension/js","js","JS File - What is a .js file and how do I open it?",".js file","1795","191.78","433","900"
"https://fileinfo.com/extension/avif","avif","AVIF File Extension","avif file","1792","16.58","118","4300"
"https://fileinfo.com/extension/swf","swf","SWF File Extension","swf file","1761","237.42","489","6100"
"https://fileinfo.com/extension/avi","avi","AVI File - What is an .avi file and how do I open it?","avi. files","1708","678.59","551","400"
"https://fileinfo.com/extension/rpt","rpt","RPT File - What is an .rpt file and how do I open it? - FileInfo.com","how to open rpt file","1694","679.63","132","500"
"https://fileinfo.com/extension/prn","prn","PRN File Extension","prn file","1682","923.63","138","400"
"https://fileinfo.com/extension/emz","emz","EMZ File - What is an .emz file and how do I open it?","emz file","1664","162.9","88","1200"
"https://fileinfo.com/extension/sql","sql","SQL File - What is an .sql file and how do I open it?",".sql file","1654","1690.79","195","600"
"https://fileinfo.com/extension/bak","bak","BAK File Extension - FileInfo.com",".bak file opener","1651","38.56","147","350"
"https://fileinfo.com/extension/cdr","cdr","CDR File Extension","cdr","1624","1029.53","396","9500"
"https://fileinfo.com/extension/cbz","cbz","CBZ File - What is a .cbz file and how do I open it?","cbz file","1606","200.4","69","1200"
"https://fileinfo.com/extension/aae","aae","AAE File - What is a .aae file and how do I open it?","aae file","1595","39.02","127","5800"
"https://fileinfo.com/extension/crdownload","crdownload","CRDOWNLOAD File Extension - FileInfo.com","how to open crdownload file?","1511","25.64","67","500"
"https://fileinfo.com/extension/rpmsg","rpmsg","RPMSG File Extension","rpmsg","1501","188.08","58","1500"
"https://fileinfo.com/extension/run","run","RUN File - What is a .run file and how do I open it?","linux .run file","1497","0.5","290","350"
"https://fileinfo.com/extension/m4a","m4a","M4A File Extension",".m4a","1494","86.27","226","150"
"https://fileinfo.com/extension/step","step","STEP File - What is an .step file and how do I open it?",".step file","1487","923.69","240","2400"
"https://fileinfo.com/extension/yml","yml","YML File - What is a .yml file and how do I open it?","yml file","1456","141.46","167","1000"
"https://fileinfo.com/extension/ai","ai","AI File - What is a .ai file and how do I open it?",".ai file","1452","2462.63","394","4900"
"https://fileinfo.com/extension/odt","odt","ODT File Extension","odt file","1449","266.72","221","4800"
"https://fileinfo.com/extension/ipynb","ipynb","IPYNB File Extension - FileInfo.com","ipynb","1438","270.01","119","1800"
"https://fileinfo.com/extension/pub","pub","PUB File - What is a .pub file and how do I open it? - FileInfo.com",".pub","1431","389.97","320","300"
"https://fileinfo.com/extension/vsdx","vsdx","VSDX File - Microsoft Visio Drawing - FileInfo.com","how to open vsdx file","1423","3724.67","142","250"
"https://fileinfo.com/extension/py","py","PY File - What is a .py file and how do I open it?",".py file","1416","535.94","223","700"
"https://fileinfo.com/extension/cfg","cfg","CFG File - What is a .cfg file and how do I open it?","cfg file","1264","81.2","95","700"
"https://fileinfo.com/extension/dwg","dwg","DWG File Extension - FileInfo.com","dwg file","1236","777.28","480","500"
